time,X_value,Y_value,Z_value
Started:,Dec 05 2019,19:00:06:119, 
2.9533,-0.41059,-3.12071,9.54288
2.9533,-0.82237,-3.02973,9.82179
2.9890,-1.18628,-2.95432,9.99656
2.9997,-1.06059,-2.69216,9.56562
3.0097,-0.33757,-2.50662,8.68100
3.0491,0.59852,-2.57725,8.45476
3.0696,0.85828,-2.96749,8.89168
3.0697,0.47762,-3.98498,9.56921
3.1000,0.08260,-4.46978,9.05807
3.1188,-0.42136,-4.13581,8.95034
3.1297,-0.36869,-3.98378,8.73846
3.1490,0.25258,-3.60551,8.75043
3.1885,0.32799,-3.31702,8.68699
3.1885,0.19512,-3.39364,8.85936
3.2188,-0.05267,-3.89400,9.01258
3.2475,0.00359,-3.99455,8.95273
3.2475,-0.30285,-3.67135,8.64509
3.2846,-0.72541,-3.52651,8.75282
3.2847,-0.69668,-3.72043,8.93119
3.3080,-0.31243,-3.58636,9.24122
3.3498,0.04309,-3.40441,9.32741
3.3498,0.20709,-3.38166,8.91443
3.3664,-0.05746,-3.27752,8.77317
3.4003,-0.32799,-3.27872,9.04850
3.4174,-0.44291,-3.35533,9.18376
3.4250,-0.47643,-3.25957,9.34417
3.4574,-0.45608,-3.24041,9.25559
3.4876,-0.11013,-3.21887,9.08321
3.4876,-0.07302,-3.16620,8.90365
3.5242,-0.20829,-3.34336,9.01857
3.5445,-0.83913,-3.23323,9.01378
3.5446,-0.91814,-3.42715,8.80310
3.5832,-0.45847,-3.42715,8.88929
3.6019,0.01915,-3.25478,8.98026
3.6037,0.18913,-3.21288,8.99343
3.6537,-0.45488,-3.14106,8.85817
3.6537,-0.81878,-3.28949,8.89767
3.6627,-0.69189,-3.47144,9.08920
3.6843,-0.32679,-3.46426,9.41240
3.7264,-0.09936,-3.44870,9.46627
3.7264,-0.26335,-3.45588,9.19573
3.7497,-0.59254,-3.40800,8.80550
3.7823,-0.76252,-3.41159,8.42962
3.7823,-0.66795,-3.24400,8.69178
3.8177,-0.35792,-3.28470,8.98864
3.8415,-0.14005,-3.26316,8.89527
3.8415,-0.07302,-3.25358,8.86295
3.8849,-0.15801,-3.24999,9.02336
3.8850,-0.18913,-3.29907,9.17898
3.9009,-0.00359,-3.32780,9.22446
3.9206,-0.06584,-3.37329,9.17060
3.9496,-0.12928,-3.50735,9.05089
3.9595,-0.34954,-3.60671,9.18137
3.9879,-0.58416,-3.60551,9.08321
3.9996,-0.11372,-3.57439,8.83782
4.0186,0.13048,-3.69050,9.10715
4.0490,-0.05028,-3.81739,9.09638
4.0785,-0.15083,-3.63065,9.02575
4.0786,-0.00359,-3.64621,9.24840
4.1000,-0.37228,-3.81021,9.37529
4.1252,-0.79005,-3.83535,8.96470
4.1383,-0.79484,-3.71205,8.75761
4.1868,-0.42376,-3.68691,8.79352
4.1868,-0.03831,-3.68093,8.86295
4.1975,0.22864,-3.48222,8.80071
4.2180,-0.00120,-3.28590,8.75522
4.2594,-0.28729,-3.31702,8.79233
4.2595,-0.47044,-3.61030,8.81148
4.2871,-0.52550,-3.58995,8.93358
4.2999,-0.52550,-3.44152,8.99104
4.3160,-0.46685,-3.44152,9.16461
4.3492,-0.47164,-3.45468,9.06885
4.3764,-0.65598,-3.44631,8.94435
4.3765,-0.65718,-3.51334,8.92400
4.3994,-0.40460,-3.55643,8.98146
4.4177,-0.14724,-3.56002,9.11074
4.4349,0.02394,-3.51095,9.13468
4.4844,-0.35193,-3.53967,8.99463
4.4845,-0.54585,-3.58037,8.97548
4.4967,-0.35313,-3.55284,9.02934
4.5311,-0.23103,-3.54686,9.15623
4.5497,-0.35672,-3.58516,9.03772
