time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:47:36:915, 
2.8730,-0.55663,-5.27540,7.81913
2.9027,-0.26814,-5.15928,7.85025
2.9027,-0.19272,-5.61656,7.78920
2.9312,-0.10175,-5.74225,7.82272
2.9503,-0.01436,-5.51600,7.80716
2.9858,0.06823,-5.26223,7.69224
2.9858,0.31842,-4.99768,8.10881
3.0018,0.48481,-4.89114,8.28478
3.0488,0.22983,-5.05155,8.07290
3.0488,0.07901,-5.15449,7.85863
3.0890,0.26096,-5.02880,7.94242
3.0891,0.36869,-4.83369,8.02981
3.1017,0.24779,-4.84206,8.14712
3.1189,0.05267,-4.90910,8.06213
3.1480,-0.09337,-4.98212,8.07290
3.1706,-0.19512,-4.99529,8.03460
3.1858,-0.29208,-5.13534,7.90172
3.2012,-0.34714,-5.27540,7.76406
3.2284,-0.26215,-5.17125,7.86821
3.2511,-0.22505,-4.98092,8.03579
3.2874,-0.22145,-5.08028,8.03938
3.2884,-0.38425,-5.31610,8.01544
3.3023,-0.41059,-5.34961,8.01544
3.3202,-0.38665,-5.03120,8.06452
3.3465,-0.49079,-4.89713,8.13874
3.3858,-0.53269,-5.15569,8.00108
3.3858,-0.62845,-5.44538,7.91848
3.4037,-0.64401,-5.32926,7.91848
3.4515,-0.64401,-5.11379,7.93045
3.4515,-0.64282,-5.26223,7.81314
3.4657,-0.65000,-5.49087,7.78681
3.4852,-0.64042,-5.52079,7.82032
3.5019,-0.67514,-5.46214,7.74491
3.5188,-0.71943,-5.43580,7.69224
3.5537,-0.83793,-5.26462,7.72336
3.5843,-0.90856,-5.08746,7.83589
3.5843,-0.92053,-5.11020,7.91130
3.6007,-1.10727,-5.11140,7.97474
3.6235,-1.24852,-5.09584,7.95679
3.6433,-1.34548,-5.19759,7.96158
3.6523,-1.37661,-5.32687,7.99749
3.6865,-1.30837,-5.32687,7.99988
3.7046,-1.31197,-5.25265,7.96397
3.7188,-1.24493,-5.09105,7.94123
3.7530,-1.08931,-4.93783,8.05255
3.7620,-0.99235,-4.78341,8.19620
3.7857,-0.86188,-4.80855,8.33027
3.8026,-0.76851,-4.96656,8.38533
3.8325,-0.64042,-5.00606,8.44159
3.8546,-0.53508,-5.01923,8.55412
3.8547,-0.43932,-5.07429,8.67980
3.8824,-0.40700,-5.10901,8.70135
3.9014,-0.34834,-5.11858,8.62594
3.9193,-0.36630,-5.18322,8.60678
3.9401,-0.34475,-5.43341,8.33865
3.9513,-0.48480,-5.84400,7.99270
3.9937,-0.62007,-6.16480,7.60725
4.0034,-0.85948,-6.34676,7.48994
4.0193,-0.94926,-6.52871,7.38819
4.0516,-0.86786,-6.79326,7.24454
4.0516,-0.82596,-6.86628,6.70587
4.0881,-0.59733,-6.93211,6.47125
4.0995,-1.16593,-7.02907,7.58331
4.1192,-1.20423,-6.43653,7.91609
4.1477,-0.68232,-6.15044,7.91728
4.1511,-0.66436,-6.13608,7.96756
4.1783,-0.52550,-6.15642,7.93165
4.2017,-0.40580,-6.09298,7.98312
4.2170,-0.58895,-6.04989,7.69344
4.2372,-0.51234,-5.84160,7.55458
4.2566,-0.49917,-5.91223,7.71857
4.2879,-0.74097,-6.01517,7.68625
4.2964,-1.01869,-5.92061,7.70900
4.3188,-1.07854,-6.11213,7.59408
4.3513,-1.05819,-6.15523,7.47797
4.3513,-1.10727,-5.99363,7.38579
4.3870,-1.04024,-5.90026,7.26729
4.3880,-0.99475,-5.83083,7.32355
4.4177,-0.92652,-5.91821,7.53543
4.4513,-0.93849,-6.06186,7.73533
4.4513,-0.91455,-6.01637,7.46480
4.4761,-0.86188,-6.01158,7.53902
4.5047,-0.85110,-5.87272,7.57253
4.5278,-0.82357,-5.88110,7.73414
4.5354,-0.99355,-6.06425,7.62281
4.5535,-1.12044,-6.07024,7.65992
4.5866,-1.28324,-6.12291,7.55817
4.5867,-1.34548,-6.38147,7.52226
4.6230,-1.29880,-6.34915,7.43248
4.6585,-1.27486,-6.12770,7.53064
4.6586,-1.05580,-5.93736,7.73414
4.6828,-0.85469,-5.90504,7.56416
4.7016,-0.52910,-5.51481,7.32115
4.7136,-0.41059,-5.29694,7.40255
4.7534,-0.45727,-5.40468,7.48635
4.7535,-0.74097,-5.62015,7.36664
4.7720,-0.81040,-5.90744,7.37981
4.7867,-0.97081,-6.15882,7.44565
4.8014,-1.12283,-6.30845,7.31517
4.8303,-0.94806,-6.25698,7.10808
4.8511,-0.85469,-6.35633,6.86628
4.8909,-1.04263,-6.66637,7.35228
4.8909,-0.90018,-6.54068,7.46959
4.9016,-0.65359,-6.23304,7.45403
4.9257,-0.61409,-6.19593,7.47677
4.9536,-0.65000,-6.34795,7.45762
4.9867,-0.62127,-6.38147,7.51268
4.9867,-0.71584,-6.45329,7.34869
5.0018,-0.85469,-6.54068,7.05301
5.0511,-0.96841,-6.45688,7.00513
5.0520,-1.08931,-6.38147,7.17751
5.0713,-1.02707,-6.31803,7.25891
5.0883,-0.92412,-6.28690,7.36784
5.1003,-0.96003,-6.37429,7.62760
5.1187,-0.92771,-6.33838,7.68147
5.1465,-0.88103,-6.22825,7.56176
5.1872,-0.82118,-6.28092,7.43966
5.1882,-0.73140,-6.41140,7.34629
5.2012,-0.63324,-6.42456,7.24694
5.2465,-0.62486,-6.59095,7.16434
5.2466,-0.58416,-6.60771,7.11406
5.2856,-0.56261,-6.41738,7.06499
5.2857,-0.61528,-6.46167,7.08174
5.3097,-0.65359,-6.61968,7.00034
5.3282,-0.64521,-6.53350,7.04344
5.3532,-0.69429,-6.39823,7.17511
5.3660,-0.79963,-6.46407,7.27207
5.3862,-0.82596,-6.44013,7.18828
5.4018,-0.69309,-6.29049,7.17392
5.4252,-0.68950,-6.31563,7.24215
5.4512,-0.67274,-6.39224,7.23377
5.4885,-0.56980,-6.32042,7.19068
5.4902,-0.55184,-6.27733,7.31876
5.5045,-0.60331,-6.29768,7.46360
5.5194,-0.57937,-6.29289,7.49592
5.5438,-0.47643,-6.17199,7.48036
5.5859,-0.44411,-6.06306,7.47797
5.5859,-0.38425,-5.96370,7.40854
5.6020,-0.31243,-6.03911,7.61683
5.6255,-0.30405,-6.10136,7.68865
5.6554,-0.33996,-6.21628,7.79878
5.6554,-0.40341,-6.06186,7.66590
5.6814,-0.37348,-5.81168,7.47557
5.7017,-0.33278,-5.75661,7.41812
5.7191,-0.37587,-5.80330,7.46719
5.7518,-0.35074,-5.73147,7.46719
5.7528,-0.17238,-5.62733,7.72336
5.7821,-0.14604,-5.67162,7.87419
5.8021,-0.02035,-5.43101,7.70421
5.8205,0.18195,-5.23111,7.89933
5.8398,0.31004,-5.34602,8.15071
5.8503,0.36271,-5.24786,8.58165
5.8891,0.36630,-5.14851,9.07962
5.9025,0.51593,-4.88995,9.21130
5.9193,0.89180,-4.26628,8.98505
5.9485,1.27486,-3.84492,8.99822
5.9523,1.26887,-3.50017,8.94794
5.9859,1.05580,-3.22844,9.12750
6.0021,0.78167,-3.42596,10.07916
6.0235,0.54705,-3.60910,9.95586
6.0515,0.82237,-3.41279,10.06000
6.0516,1.16832,-2.53296,10.79619
6.0780,2.18940,-1.95718,11.50843
6.1011,2.61914,-3.25837,10.86083
6.1194,1.53103,-3.77789,10.95420
6.1370,0.57339,-3.54327,10.65135
6.1535,1.41731,-4.09750,8.57446
6.1862,0.25377,-6.94169,6.64362
6.1862,0.05985,-10.28984,4.03047
6.2159,1.76206,-13.41413,2.42642
6.2508,1.10248,-14.23172,4.35247
6.2508,0.47283,-13.73135,5.42144
6.2954,0.37827,-12.43854,4.93304
6.3072,0.52550,-11.04398,4.49731
6.3201,0.29807,-9.72004,4.18967
6.3519,1.16593,-7.89933,4.12743
6.3519,1.88416,-6.79924,5.06232
6.3756,2.38213,-6.30366,5.72070
6.3856,2.85017,-5.95532,6.11692
6.4138,2.68618,-5.77098,6.60652
6.4363,1.95718,-5.86195,7.14399
6.4556,1.36583,-5.75182,7.49832
6.4835,1.09769,-5.31370,7.65992
6.4939,1.08812,-5.17245,7.89454
6.5193,1.16473,-5.44897,8.07290
6.5532,1.15515,-5.82484,8.12078
6.5532,1.24014,-5.90504,8.30034
6.5871,1.34907,-5.80928,8.15789
6.5889,1.45681,-5.73866,8.38773
6.6134,1.40534,-5.64768,8.46314
6.6530,1.45442,-5.52319,8.34942
