time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:52:11:716, 
2.9482,0.71464,-4.34170,8.85338
2.9482,1.10966,-3.93470,8.65826
2.9736,1.29521,-4.10827,8.75881
2.9976,1.07495,-4.08912,9.12870
3.0216,0.93968,-4.18488,9.39325
3.0216,0.66915,-4.10109,9.12391
3.0477,0.65000,-3.70487,8.56609
3.0908,1.16233,-3.49179,8.65826
3.0908,1.38259,-3.54566,9.12870
3.1196,1.20782,-3.55165,9.32501
3.1490,1.27965,-3.60551,9.20770
3.1490,1.27127,-3.54925,9.01019
3.1792,1.43047,-3.28351,8.63910
3.2014,1.73572,-2.97826,8.75522
3.2101,1.60644,-3.11472,8.78275
3.2221,1.63996,-2.94235,8.89288
3.2483,2.09843,-2.91721,8.95632
3.2700,2.46712,-2.77715,9.06406
3.2892,2.59999,-2.54612,8.76599
3.3196,2.69935,-2.42881,8.64030
3.3303,2.54852,-2.52338,9.01498
3.3516,2.60837,-2.56408,8.79712
3.3876,3.18176,-2.47310,9.09518
3.3876,3.29667,-2.55450,8.89647
3.3964,3.66776,-2.48268,8.68818
3.4216,3.68212,-2.48029,8.36618
3.4467,3.58397,-2.50662,8.32069
3.4899,3.50496,-2.41205,8.55412
3.4899,3.43433,-2.70294,9.04969
3.5061,3.12071,-3.01417,9.33339
3.5471,3.15063,-3.01656,9.07363
3.5471,3.58157,-2.75920,8.83901
3.5546,4.01371,-2.61795,8.72529
3.5947,4.14179,-2.72209,9.05927
3.5994,4.48175,-2.58204,9.19454
3.6225,5.07549,-2.46951,8.49785
3.6433,6.29289,-2.04815,8.48948
3.6842,7.33672,-1.53821,9.44592
3.6842,7.82511,-0.96841,10.30181
3.7127,8.70494,0.06584,9.01857
3.7433,8.84141,0.88941,7.19068
3.7449,8.74325,-0.07182,7.09012
3.7567,7.68745,-1.10607,7.85025
3.7827,4.83608,-1.79318,8.87612
3.7969,2.92798,-4.94142,10.87879
3.8220,0.89180,-8.82584,11.77059
3.8468,-1.79438,-13.12325,10.91948
3.8619,-7.23257,-15.61551,12.80963
3.8929,-7.86940,-13.30640,10.18809
3.8942,-4.29142,-9.30586,8.27161
3.9218,-2.37495,-6.54786,6.14685
3.9469,-1.01749,-4.73912,5.17245
3.9544,0.92652,-4.08433,4.99050
3.9810,1.55377,-3.71923,5.84639
3.9973,1.93323,-3.45588,7.04942
4.0242,3.10874,-3.01896,7.95200
4.0413,3.44870,-2.61316,8.02741
4.0902,3.35174,-2.66224,8.45356
4.0903,3.96343,-2.59640,8.90724
4.0903,4.08553,-2.60957,9.45190
4.1190,3.63544,-2.97467,9.62906
4.1475,2.99262,-3.30745,9.43873
4.1557,2.76159,-3.14585,9.18376
4.1778,2.73167,-2.95312,9.00660
4.1984,2.98305,-2.87771,8.86176
4.2187,3.15303,-2.83581,8.77198
4.2485,3.00819,-3.21049,9.32501
4.2794,2.93397,-3.29308,9.38487
4.2794,3.17218,-2.81307,9.18975
4.2917,3.44631,-2.28876,8.86295
4.3213,3.36730,-2.41445,8.98026
4.3364,3.36610,-2.87292,9.45190
4.3473,3.14944,-2.89207,9.63266
4.3863,3.04769,-2.61076,9.46028
4.3978,3.19732,-2.37255,9.22925
4.4218,3.31822,-2.49585,9.12750
4.4448,3.46067,-2.73526,9.42078
4.4464,3.33857,-2.85377,9.52971
4.4891,3.06923,-2.93876,9.31185
4.4892,3.04529,-3.04888,9.01139
4.5158,3.02494,-3.04051,8.84620
4.5477,2.84898,-3.33019,9.19454
4.5498,2.68139,-3.56601,9.33579
4.5766,2.36896,-3.51693,9.00780
4.5974,2.23848,-3.39364,8.63432
4.6213,2.24566,-3.37688,8.23690
4.6214,2.22651,-3.50855,8.21415
4.6469,2.04695,-3.73839,8.19500
4.6900,1.90331,-3.76233,8.06692
4.6914,1.76924,-3.85689,7.90053
4.7225,1.94521,-3.81380,7.63598
4.7472,2.27918,-3.72163,7.53064
4.7472,2.42163,-3.79584,7.87539
4.7818,2.37016,-3.69529,7.97594
4.7975,2.31749,-3.57319,7.85983
4.8118,2.39170,-3.60671,7.99629
4.8217,2.63471,-3.64980,8.29076
4.8472,2.73645,-3.50855,8.49306
4.8724,2.70653,-3.44032,8.70135
