time,X_value,Y_value,Z_value
Started:,Dec 05 2019,19:07:54:830, 
2.8704,-3.40082,-7.02668,6.76812
2.8834,-3.32421,-7.04703,6.51315
2.8916,-3.19133,-6.91535,6.25937
2.9410,-3.12909,-6.82797,6.08221
2.9410,-2.91242,-6.73580,6.00440
2.9614,-2.63231,-6.54906,6.08101
2.9830,-2.55809,-6.38626,6.25698
3.0007,-2.62034,-6.26536,6.24381
3.0247,-2.72329,-6.23782,6.17917
3.0321,-2.77715,-6.29768,6.24740
3.0695,-2.90165,-6.28810,6.41618
3.0804,-3.05248,-6.29409,6.54666
3.0921,-3.13028,-6.34436,6.55744
3.1406,-3.17218,-6.43653,6.63285
3.1421,-3.33498,-6.52152,6.74418
3.1597,-3.37329,-6.60412,6.76093
3.1827,-3.42715,-6.64123,6.73101
3.1979,-3.45947,-6.61968,6.60532
3.2255,-3.28829,-6.56701,6.41020
3.2310,-3.23203,-6.47843,6.46287
3.2575,-3.27154,-6.58856,6.42337
3.2819,-3.37448,-6.68193,6.27134
3.2919,-3.28111,-6.59933,6.19832
3.3177,-3.15662,-6.59933,6.41858
3.3350,-2.99621,-6.75615,6.47364
3.3592,-2.89327,-6.69629,6.37548
3.3772,-2.73885,-6.54187,6.34316
3.4083,-2.64189,-6.52751,6.34436
3.4280,-2.60837,-6.49998,6.28092
3.4280,-2.66463,-6.44132,6.40661
3.4654,-2.78194,-6.54187,6.54547
3.4823,-2.74483,-6.56103,6.48681
3.4921,-2.76878,-6.48083,6.37429
3.5366,-2.90284,-6.49998,6.43534
3.5366,-2.75800,-6.45688,6.82438
3.5593,-2.61675,-6.55863,6.82797
3.5836,-2.81067,-6.69151,6.91057
3.6039,-2.82982,-6.60053,6.78488
3.6144,-2.88130,-6.62567,6.58856
3.6257,-2.77715,-6.68672,6.47484
3.6743,-2.77117,-6.71545,6.38506
3.6743,-2.71970,-6.82079,6.32880
3.6919,-2.59161,-6.93810,6.28451
3.7342,-2.45395,-6.91535,6.06425
3.7342,-2.64548,-6.81480,5.96729
3.7588,-3.24640,-6.95725,6.33359
3.7826,-3.32660,-6.67834,5.99841
3.7826,-3.30386,-6.61370,5.97328
3.8052,-3.23084,-6.57659,6.03672
3.8275,-2.82982,-6.35154,6.39464
3.8518,-2.68977,-6.33957,6.67355
3.8702,-2.76159,-6.45928,6.79206
3.8820,-2.98903,-6.56582,6.86747
3.9103,-2.93277,-6.50955,6.95246
3.9499,-2.84658,-6.36112,7.20504
3.9626,-2.80229,-6.27733,7.19666
3.9626,-2.80588,-6.34316,7.12005
3.9838,-2.60358,-6.18037,6.90338
4.0066,-2.76638,-6.33598,6.59215
4.0255,-2.78912,-6.28571,6.36471
4.0683,-3.15542,-6.24022,6.36711
4.0683,-3.11831,-6.41858,6.43175
4.0819,-3.05008,-6.66278,6.56821
4.1394,-3.17218,-6.74178,6.46048
4.1395,-3.22485,-6.82797,6.33000
4.1484,-3.12550,-6.79565,6.33718
4.1582,-3.13627,-6.86867,6.30246
4.1821,-3.05248,-6.84952,6.39105
4.2070,-3.02853,-6.73101,6.44731
4.2281,-3.06325,-6.68073,6.35873
4.2679,-3.11712,-6.75256,6.18755
4.2679,-3.02734,-6.72263,6.32760
4.2822,-3.07402,-6.63644,6.36830
4.3279,-3.20330,-6.63764,6.26775
4.3279,-3.11353,-6.71664,6.45688
4.3615,-2.98784,-6.53948,6.61489
4.3615,-2.85137,-6.25099,6.49998
4.3827,-2.96749,-6.30486,6.50477
4.4054,-2.94354,-6.21628,6.64722
4.4256,-3.15782,-6.30486,6.78488
4.4452,-3.19373,-6.45808,6.80283
4.4782,-3.11233,-6.34197,6.83276
4.4850,-3.05008,-6.24142,6.87944
4.5055,-3.00938,-6.39583,6.71664
4.5341,-3.00340,-6.41020,6.55624
4.5588,-3.01297,-6.15523,6.55265
4.5588,-3.02973,-6.06186,6.55863
4.5825,-3.07642,-6.22107,6.59933
4.6057,-3.22006,-6.26296,6.66038
4.6250,-3.16380,-6.23543,6.58617
4.6719,-3.06564,-6.15882,6.52631
4.6719,-3.32061,-6.09178,6.39224
4.6830,-3.47982,-6.12291,6.25578
4.6929,-3.48940,-6.21747,6.38985
4.7343,-3.51334,-6.35992,6.68911
4.7445,-3.27752,-6.19114,6.85550
4.7602,-3.35054,-6.06784,7.20863
4.7827,-3.14345,-5.92420,7.56655
4.8014,-3.10634,-5.88350,7.73533
4.8256,-2.90763,-5.61296,7.70660
4.8308,-2.74723,-5.48368,7.89334
4.8614,-2.60957,-5.28258,8.10522
4.8829,-2.40607,-5.24667,8.42962
4.8923,-2.20975,-5.12696,8.50743
4.9212,-2.02660,-5.03599,8.68220
4.9390,-2.02660,-5.08626,8.72529
4.9590,-1.83627,-4.88037,8.90365
4.9820,-1.54060,-4.50689,8.96710
4.9995,-1.44604,-4.15376,8.71572
5.0263,-1.58370,-4.65532,8.90964
5.0314,-1.09171,-3.93949,8.70973
5.0678,-0.88941,-4.14179,9.14785
5.0822,-1.35386,-4.90311,9.94868
5.0921,-1.92366,-5.36398,10.56276
5.1420,-2.23609,-5.70873,9.94509
5.1420,-2.49226,-5.99363,8.91084
