time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:01:05:811, 
2.8605,-3.94188,-5.19639,7.19068
2.8647,-3.87485,-5.23470,7.06139
2.8850,-3.77071,-5.29694,6.97401
2.9441,-3.59594,-5.29335,6.95964
2.9441,-3.81739,-5.27899,6.92493
2.9441,-3.77071,-5.32208,7.04104
3.0036,-3.67255,-5.34123,7.13561
3.0037,-3.60671,-5.29814,7.15476
3.0037,-3.63664,-5.36039,7.09731
3.0279,-3.62347,-5.39510,7.06738
3.0540,-3.73240,-5.39031,7.05062
3.0627,-3.68811,-5.38672,7.09371
3.0937,-3.61030,-5.30652,7.16673
3.1034,-3.63424,-5.26223,7.21581
3.1237,-3.59354,-5.24786,7.32834
3.1545,-3.43673,-5.28497,7.30559
3.1600,-3.54446,-5.17724,7.31277
3.1815,-3.59354,-5.17604,7.40495
3.2014,-3.51693,-5.08746,7.41811
3.2272,-3.58636,-5.16287,7.42051
3.2409,-3.61629,-5.12337,7.63717
3.2898,-3.64023,-5.23589,7.71857
3.2898,-3.64382,-5.22153,7.70900
3.3001,-3.48341,-5.11020,7.67428
3.3552,-3.42596,-5.06472,7.61204
3.3552,-3.33019,-5.09943,7.46001
3.3581,-3.16859,-5.06711,7.41572
3.4000,-3.01896,-4.91868,7.55218
3.4000,-3.16739,-4.92346,7.70062
3.4177,-3.16260,-4.94501,7.79279
3.4526,-3.01178,-4.84087,7.99988
3.4795,-2.76638,-4.79179,8.22852
3.4804,-2.23250,-4.59787,8.37456
3.5041,-1.87219,-4.53203,8.84979
3.5375,-1.52145,-4.31776,9.23763
3.5375,-1.38259,-4.09630,9.37649
3.5598,-1.12164,-3.95026,9.56682
3.5959,-0.85469,-3.76951,10.08394
3.5960,-0.69788,-3.42236,10.17013
3.6257,-0.65718,-3.13627,10.34011
3.6512,-0.58536,-2.73286,10.28984
3.6536,-0.67873,-3.01058,10.18809
3.6870,-0.91814,-3.02973,10.53284
3.7040,-2.39649,-4.56555,10.81175
3.7161,-3.47144,-4.74989,10.30300
3.7627,-3.42955,-5.04796,8.87612
3.7627,-2.86334,-5.60698,6.95965
3.7781,-2.53415,-6.21747,4.92107
3.8036,-3.20929,-8.33865,3.82816
3.8241,-3.78507,-10.78302,3.64382
3.8356,-3.64861,-12.49839,3.57798
3.8938,-3.90477,-13.33034,2.69216
3.8957,-4.73912,-13.19388,1.99907
3.8958,-4.19446,-12.20751,2.13913
3.9548,-2.88369,-10.88956,2.56288
3.9548,-2.27799,-9.55844,3.16021
3.9548,-1.83747,-8.44877,3.84133
4.0034,-1.32753,-7.62760,4.52126
4.0034,-1.26169,-7.05780,5.22392
4.0127,-1.41731,-6.43653,6.15882
4.0551,-1.78241,-6.16002,6.96563
4.0552,-2.05773,-6.13727,7.41811
4.0726,-2.02182,-5.99722,7.67787
4.0945,-1.98351,-5.95652,7.98911
4.1317,-1.98710,-5.96011,8.36977
4.1317,-2.19898,-5.93976,8.53376
4.1546,-2.42403,-5.84040,8.50863
4.1911,-2.48627,-5.76619,8.44877
4.1912,-2.56169,-5.99123,8.50743
4.2209,-2.68618,-6.06306,8.33984
4.2496,-2.85855,-6.04031,8.23450
4.2496,-3.11831,-6.07143,8.11719
4.2905,-3.16620,-6.23184,8.01664
4.2961,-3.15423,-6.32760,8.01185
4.3117,-3.27992,-6.38147,7.83708
4.3540,-3.45708,-6.20670,7.46360
4.3540,-3.63783,-6.18515,7.40255
4.3690,-3.59235,-6.11333,7.16314
4.4046,-3.58636,-6.04151,6.93451
4.4199,-3.64382,-6.02834,6.69749
4.4305,-3.68691,-5.79851,6.40182
4.4537,-3.74078,-5.47650,6.53110
4.4883,-3.50735,-5.41785,6.74178
4.4884,-3.41398,-5.49087,6.90458
4.5559,-3.53369,-5.51481,6.78488
4.5560,-3.60312,-5.55670,6.69151
4.5560,-3.58995,-5.47171,6.62447
4.6032,-3.69050,-5.26702,6.78368
4.6032,-3.57080,-4.90790,6.98957
4.6054,-3.61150,-4.80136,7.06379
4.6275,-3.77549,-4.82411,6.99197
4.6534,-3.88323,-4.87438,7.07456
4.6657,-4.04722,-4.78341,7.19187
4.6974,-4.20164,-4.48056,7.08414
4.7279,-4.40634,-4.26628,7.02429
4.7279,-4.68286,-4.23277,6.98957
4.7543,-5.00008,-4.25790,6.97162
4.7852,-5.25385,-4.23875,6.92852
4.7853,-5.42263,-4.18488,6.65559
4.8249,-5.55790,-4.19207,6.58257
4.8283,-5.60818,-4.23875,6.67116
4.8471,-5.49326,-4.18129,6.74298
4.8930,-5.38074,-4.14299,6.54906
4.8930,-5.47770,-4.11905,6.46287
4.9042,-5.42503,-4.06159,6.44372
4.9548,-5.22632,-3.93350,6.42935
4.9566,-5.00367,-3.89640,6.31803
4.9664,-5.00845,-3.99575,6.33479
5.0030,-4.99289,-4.15496,6.56222
5.0031,-4.92586,-4.25551,6.67954
5.0213,-5.07070,-4.31895,6.64123
5.0543,-5.29814,-4.39557,6.65559
5.0835,-5.37834,-4.41592,6.68672
5.0835,-5.41186,-4.47098,6.72263
5.1040,-5.51241,-4.49133,6.74418
5.1406,-5.66204,-4.51407,6.72742
5.1406,-5.84040,-4.53921,6.70826
5.1610,-5.95652,-4.62181,6.78966
5.2013,-6.06066,-4.73672,6.79325
5.2014,-6.13129,-4.82291,6.82438
5.2293,-6.12051,-4.78820,6.75854
5.2537,-6.02355,-4.64096,6.72861
5.2600,-5.91702,-4.54160,6.73340
5.2892,-5.90864,-4.48894,6.70707
5.3039,-5.94335,-4.47098,6.65559
5.3202,-5.95293,-4.42669,6.57898
5.3550,-6.00560,-4.37641,6.53828
5.3632,-5.99243,-4.27347,6.45569
5.3791,-5.97926,-4.20763,6.41140
