time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:55:49:476, 
2.9008,-1.32394,-2.86214,9.60872
2.9411,-0.80801,-2.90045,9.40402
2.9424,-1.07136,-2.66104,9.41479
2.9692,-1.78480,-2.52458,9.58477
2.9692,-1.59926,-2.35819,9.57640
2.9900,-0.22385,-1.15276,10.48615
3.0338,0.14245,-0.42615,12.09978
3.0338,-0.76132,-1.80874,12.44692
3.0573,-1.55497,-4.37761,11.42344
3.0778,-0.33517,-5.99602,9.88763
3.1023,0.87265,-8.38772,8.31470
3.1180,-0.55304,-13.98992,7.93524
3.1383,-2.19060,-16.41155,6.23543
3.1674,-1.18149,-13.10290,3.76233
3.1674,-0.32320,-11.16608,3.08240
3.1862,0.23821,-10.62980,3.92273
3.2154,0.76013,-9.74997,4.34649
3.2345,1.09171,-8.56848,4.04483
3.2747,1.50709,-7.62999,4.46260
3.2747,2.08167,-7.44206,5.42862
3.2949,2.13075,-7.26010,6.10854
3.3466,1.51906,-6.68672,6.37309
3.3483,1.00313,-6.69749,6.07383
3.3553,0.53029,-6.77530,5.43580
3.3718,0.33637,-6.05946,5.73626
3.3885,0.26335,-5.45017,6.56582
3.4142,0.51952,-5.14492,7.15357
3.4337,0.78886,-4.89593,7.34270
3.4736,0.85709,-4.49253,7.54021
3.4750,0.38186,-4.21242,7.53782
3.5010,0.08260,-4.25192,7.68266
3.5332,0.11013,-4.54998,7.77124
3.5332,-0.07182,-4.42429,7.85983
3.5673,-0.54107,-4.34050,8.08128
3.5673,-0.73259,-4.26748,8.10522
3.5900,-0.62845,-4.13221,8.22612
3.6134,-0.34475,-4.27466,8.38533
3.6338,-0.37228,-4.55118,8.43082
3.6520,-0.36031,-4.46978,8.47152
3.6808,-0.36630,-4.38599,8.56728
3.7006,-0.22145,-4.30938,8.62594
3.7006,-0.08379,-4.30100,8.57207
3.7400,-0.01077,-4.44943,8.91323
3.7511,0.08858,-4.57153,8.95393
3.7697,0.17956,-4.68046,8.84141
3.7876,0.34714,-4.54998,8.71332
3.8094,0.33876,-4.47218,8.86535
3.8298,0.08140,-4.71278,8.66185
3.8801,0.11492,-4.86122,8.37456
3.8819,0.36271,-4.78700,8.43800
3.8907,0.39383,-4.85523,8.50144
3.9046,0.50875,-5.03838,8.64030
3.9395,0.39503,-5.07070,8.73726
3.9480,0.11252,-5.02402,8.68220
3.9677,-0.08619,-5.16766,8.59242
3.9882,0.02993,-5.35560,8.49067
4.0074,0.07302,-5.24068,8.49905
4.0338,-0.20709,-5.34243,8.39850
4.0384,-0.30764,-5.43939,8.48229
4.0673,0.03352,-5.28018,8.55412
4.1004,0.25976,-5.20597,8.65586
4.1004,0.25258,-5.22033,8.74085
4.1282,0.21667,-5.25026,8.64748
4.1386,0.12449,-5.31849,8.28717
4.1677,-0.03831,-5.37116,8.07889
4.1867,-0.04549,-5.27300,8.02502
4.2152,-0.13527,-5.18083,7.90412
4.2343,0.03112,-4.97733,7.84187
4.2379,0.17716,-4.71398,8.29196
4.2816,0.28729,-4.65054,8.64749
4.2816,0.29447,-4.76545,8.70135
4.3008,0.28490,-4.68765,8.64509
4.3393,0.26335,-4.50928,8.70135
4.3394,0.21307,-4.56076,8.60559
4.3636,-0.05147,-4.59428,8.51342
4.3884,-0.18195,-4.50091,8.47391
4.4159,-0.16400,-4.44584,8.32308
4.4258,0.00359,-4.51766,8.10043
4.4372,0.04309,-4.55238,8.09684
4.4846,-0.04908,-4.40634,7.98552
4.4847,-0.06344,-4.36205,7.95798
4.5008,0.13527,-4.38838,7.81793
4.5121,0.21427,-4.44105,7.48635
4.5387,0.11851,-4.38958,7.24095
4.5692,-0.14005,-4.47457,6.73819
