time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:11:00:145, 
2.8705,-4.95459,-5.07549,6.79685
2.8705,-4.86241,-4.69842,6.94169
2.8822,-4.53083,-4.51527,7.03865
2.8967,-4.26748,-4.45781,6.97999
2.9199,-4.25551,-4.48654,6.80044
2.9419,-4.33452,-4.63378,6.69510
2.9671,-4.52485,-4.76067,6.73939
3.0012,-4.53562,-5.01444,6.80283
3.0012,-4.79179,-5.37715,6.93570
3.0205,-4.80735,-5.46932,6.96084
3.0304,-4.63497,-5.32328,6.96922
3.0620,-4.36444,-5.24547,6.99436
3.0965,-4.33212,-5.15928,6.91895
3.0966,-4.35487,-5.11140,6.82438
3.1185,-4.34409,-5.06112,6.84353
3.1390,-4.57393,-5.13534,6.94408
3.1639,-4.80974,-5.16048,6.92852
3.1703,-4.79059,-5.04197,6.87585
3.2004,-4.75468,-4.92227,6.74896
3.2221,-4.75109,-4.84925,6.68073
3.2304,-4.59068,-4.83488,6.84353
3.2689,-4.48774,-4.89833,6.96802
3.2988,-4.43148,-4.90072,6.90937
3.2988,-4.62181,-4.88037,6.89381
3.3203,-4.71039,-4.89474,6.87346
3.3371,-4.70680,-4.74391,6.96922
3.3570,-4.70081,-4.70321,7.19666
3.3709,-4.56914,-4.70081,7.35587
3.4068,-4.58230,-4.72475,7.35347
3.4166,-4.67687,-4.86241,7.27926
3.4303,-4.77144,-4.84566,7.06738
3.4668,-4.73074,-4.86601,7.03626
3.4765,-4.51168,-4.80256,7.14399
3.4970,-4.51886,-4.92107,7.09252
3.5203,-4.71278,-4.85882,7.20983
3.5354,-4.80376,-5.03120,6.94408
3.5643,-4.74271,-5.01444,6.93570
3.5644,-4.65532,-5.06831,6.88902
3.5959,-4.54280,-5.05155,6.96204
3.6205,-4.56315,-5.05873,6.99077
3.6307,-4.48534,-5.15928,6.96443
3.6545,-4.50450,-5.13774,6.90099
3.6646,-4.37162,-4.94980,6.78488
3.6968,-4.37282,-5.03479,6.80523
3.7132,-4.46380,-5.00606,6.88423
3.7333,-4.47936,-5.02521,6.86508
3.7647,-4.48774,-5.13414,6.82438
3.7647,-4.49013,-5.16886,6.81480
3.8018,-4.49372,-5.28737,6.85670
3.8204,-4.57632,-5.28497,6.83635
3.8313,-4.50809,-5.22273,6.75974
3.8700,-4.45183,-5.07070,6.65679
3.8710,-4.34170,-5.03479,6.87226
3.8945,-4.22439,-5.02880,7.02309
3.9215,-4.37761,-5.02042,7.09132
3.9403,-4.41352,-4.89593,7.12723
3.9508,-4.40634,-5.00008,7.20863
3.9630,-4.40634,-5.02402,7.25292
3.9840,-4.46499,-4.96895,7.15476
4.0120,-4.47457,-4.95459,7.08174
4.0212,-4.38719,-4.89593,7.09850
4.0704,-4.30220,-4.85763,7.20145
4.0704,-4.35726,-4.94262,7.20025
4.0978,-4.41711,-5.11020,7.07935
4.0979,-4.40155,-5.13055,6.92014
4.1202,-4.45542,-5.12098,6.82438
4.1643,-4.37641,-5.07190,6.71545
4.1643,-4.25910,-5.05275,6.76931
4.1876,-4.22558,-5.06232,6.99556
4.2203,-4.29262,-5.14133,7.02788
4.2203,-4.39197,-5.22392,7.08534
4.2477,-4.50450,-5.31011,7.01710
4.2672,-4.54400,-5.36278,7.05541
4.2974,-4.44943,-5.32448,7.03506
4.2975,-4.44105,-5.28378,6.92852
4.3203,-4.47337,-5.24188,6.83515
4.3637,-4.57393,-5.28737,6.81121
4.3637,-4.48295,-5.25026,6.79326
4.4068,-4.55358,-5.28018,6.81959
4.4084,-4.49731,-5.14971,6.84233
4.4212,-4.52126,-5.18083,6.89500
4.4653,-4.58590,-5.17245,6.87106
4.4654,-4.55238,-5.08507,6.94408
4.4860,-4.59667,-5.09943,6.96084
4.4967,-4.70680,-5.05155,6.91535
4.5212,-4.73912,-4.82890,6.73939
4.5455,-4.60026,-4.71159,6.78727
4.5656,-4.50210,-4.74510,6.93810
4.6049,-4.45302,-4.56076,7.06259
4.6049,-4.35965,-4.39437,7.27806
4.6199,-4.30818,-4.43986,7.52106
4.6648,-4.34649,-4.35247,7.54141
4.6665,-4.35247,-4.31297,7.61683
4.6890,-4.42908,-4.28544,7.63239
4.6967,-4.33930,-4.12384,7.80716
4.7201,-4.16573,-4.17651,7.85384
4.7643,-3.92991,-4.06997,7.82990
4.7643,-3.97780,-4.05560,7.75688
4.7819,-4.11306,-3.91914,7.73773
4.8051,-4.11665,-3.86527,7.79638
4.8228,-4.19087,-3.95266,7.88496
4.8309,-4.27347,-3.78627,8.11001
4.8705,-4.24713,-3.78268,8.10762
4.8970,-4.13700,-3.64262,8.15550
4.8970,-4.03884,-3.55404,8.39491
4.9220,-3.92872,-3.45109,8.51701
4.9510,-4.02568,-3.25478,8.77557
4.9616,-4.09032,-2.96629,8.86774
4.9702,-3.94428,-2.49345,9.06526
4.9993,-3.71085,-2.02900,9.57041
5.0208,-3.65459,-1.28204,9.96185
5.0306,-3.57200,-0.44171,10.06838
5.0702,-3.39842,0.12330,10.26589
5.0810,-2.87052,0.17597,11.36239
5.1019,-3.29787,-0.19272,11.80770
5.1196,-4.53203,-0.99355,11.66525
5.1390,-5.51122,-2.52458,10.91589
5.1632,-5.50762,-5.10542,10.03367
5.1702,-5.01683,-7.32714,8.07170
5.1989,-5.98764,-10.07437,5.00247
